Stage,Score,Rel_Score,Year,Method_name,Midpoint,Midpoint_abb,Unit
Bauxite consumption,280067.4303400863,0.0008224725864198609,2017,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq
Aluminium consumption,0.0,0.0,2017,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq
Primary Aluminium Ingot production,28314047.770302154,0.1499344456727399,2017,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq
Primary Aluminium Liquid production,134066847.23942906,0.7099387055855484,2017,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq
Alumina consumption,0.0,0.0,2017,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq
Alumina production,24635132.794822354,0.13045308850330475,2017,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq
Bauxite consumption,1826824.902505312,0.009673783887077481,2017,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq
Aluminium consumption,0.0,0.0,2017,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.
Primary Aluminium Ingot production,663.7002267994914,0.02769056758430125,2017,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.
Primary Aluminium Liquid production,9998.478432982683,0.41715149642750976,2017,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.
Alumina consumption,0.0,0.0,2017,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.
Alumina production,13021.162728531748,0.5432624127602138,2017,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.
Bauxite consumption,285.11818387464336,0.01189555769502427,2017,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.
Aluminium consumption,0.0,0.0,2017,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.
Primary Aluminium Ingot production,38160840.86320131,0.011968211967524131,2017,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.
Primary Aluminium Liquid production,2642787724.91513,0.8288455642353405,2017,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.
Alumina consumption,0.0,0.0,2017,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.
Alumina production,466641289.64987344,0.1463505976545192,2017,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.
Bauxite consumption,40926668.49615753,0.012835645981767143,2017,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.
Aluminium consumption,0.0,0.0,2017,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq
Primary Aluminium Ingot production,54269830.54548424,0.009176150913797738,2017,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq
Primary Aluminium Liquid production,4753473666.741534,0.8037355431619879,2017,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq
Alumina consumption,0.0,0.0,2017,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq
Alumina production,1072172890.1711855,0.1812871008994174,2017,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq
Bauxite consumption,34309746.89917847,0.005801223482671489,2017,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq
